"","x","y","z"
"261",95.520263671875,-45.4220962524414,1843.22595214844
"262",94.343734741211,-36.6048202514648,1844.90649414063
"263",93.3478240966797,-30.2996063232422,1847.68774414062
"264",92.0372314453125,-17.3234481811523,1848.40759277344
"265",91.4289855957031,-8.24736785888672,1851.7333984375
"266",91.2866058349609,9.07205200195312,1856.65002441406
"267",91.2598724365234,30.5167617797852,1862.74328613281
"268",84.0323333740234,50.7770843505859,1865.89990234375
"269",83.1971282958985,65.9488830566406,1869.14331054687
"270",77.3824768066406,83.8620986938477,1873.42932128906
"271",73.6520233154297,125.624618530273,1888.3095703125
"272",72.7342681884766,141.331954956055,1893.01293945312
"273",71.7190704345703,163.076736450195,1902.0224609375
"274",71.7326049804688,184.344543457031,1909.54858398438
"275",69.0889587402344,207.307113647461,1917.35083007812
"276",63.9172210693359,245.623931884766,1940.88427734375
"277",56.4270324707031,274.213714599609,1951.828125
"278",53.5530700683594,301.027526855469,1968.17651367188
"279",51.8165130615234,322.703063964844,1980.01684570313
"280",51.1210632324219,342.522583007812,1988.80834960937
"281",50.3800201416015,356.316986083984,1996.77172851562
"282",45.723129272461,370.837158203125,2003.42529296875
"283",43.164535522461,388.391815185547,2019.6982421875
"284",38.1122436523437,402.906463623047,2029.51708984375
"285",33.8844909667969,415.877899169922,2037.36059570313
"286",37.5151977539062,425.909820556641,2043.20678710938
"287",35.240234375,438.639251708984,2050.37744140625
"288",31.1703338623047,451.689117431641,2056.14526367188
"289",25.9639434814453,461.561828613281,2063.00048828125
"290",26.3211975097656,476.739227294922,2072.30200195312
"291",23.0106506347656,487.768768310547,2073.9423828125
"292",22.642333984375,507.4560546875,2080.666015625
"293",13.7137298583984,518.138854980469,2080.22119140625
"294",6.21356201171875,524.512329101562,2081.46435546875
"295",-5.62535095214844,525.486267089844,2082.17700195312
"296",-4.26875305175781,533.644348144531,2077.9423828125
"297",-5.20260620117188,543.193054199219,2079.48950195312
"298",-7.48399353027344,549.909301757813,2077.83984375
"299",-8.65247344970703,551.814453125,2070.6796875
"300",-12.0605239868164,558.502075195312,2070.40625
"301",-17.9771728515625,555.671752929688,2072.41162109375
"302",-21.7407608032227,551.831787109375,2071.60375976562
"303",-22.1006088256836,549.761474609375,2073.28173828125
"304",-21.5058517456055,546.146484375,2075.38305664063
"305",-18.0425491333008,549.357666015625,2076.82836914062
"306",-13.8012237548828,552.304443359375,2075.0908203125
"307",-6.67572784423828,553.300415039062,2077.78100585938
"308",-2.94209289550781,555.182983398438,2082.81396484375
"309",-1.103271484375,548.993408203125,2077.02758789062
"310",0.334518432617188,547.352844238281,2071.99340820313
"311",2.30303955078125,548.685913085937,2070.30419921875
"312",-0.011749267578125,549.264282226563,2069.82983398438
"313",0.01287841796875,551.715454101562,2073.02221679688
"314",-1.86422729492188,553.240234375,2074.46362304688
"315",-3.18426513671875,553.208862304688,2073.07690429688
"316",-3.86331176757813,552.630859375,2070.9306640625
"317",-4.20207214355469,551.590209960938,2067.2919921875
"318",-4.44332885742188,550.467895507812,2063.76831054688
"319",-4.56439208984375,549.557189941406,2060.712890625
"320",-10.3040390014648,545.502807617188,2060.59619140625
"321",-11.3648910522461,541.1455078125,2060.27612304688
"322",-6.91897583007812,532.698913574219,2057.54541015625
"323",-2.73822021484375,526.264526367188,2056.93286132812
"324",2.97789001464844,526.901245117188,2059.30908203125
"325",7.36465454101562,525.387878417969,2053.94970703125
"326",7.21240234375,523.395080566406,2053.70532226562
"327",12.8750457763672,516.677490234375,2051.72314453125
"328",11.8316497802734,510.903747558594,2050.4951171875
"329",10.5830078125,500.620941162109,2047.53735351562
"330",13.7547454833984,491.71240234375,2044.3720703125
"331",12.7361450195312,483.607788085938,2043.97326660156
"332",14.354736328125,474.961486816406,2045.25329589844
"333",17.7678680419922,469.769165039063,2043.46496582031
"334",24.5918121337891,452.822998046875,2037.29516601562
"335",26.4630584716797,438.173400878906,2032.81762695312
"336",28.8513031005859,420.95458984375,2026.00415039062
"337",35.9867706298828,407.128265380859,2020.83227539062
"338",33.9277496337891,389.780426025391,2014.72534179688
"339",34.3844604492187,379.976318359375,2007.88671875
"340",33.0718536376953,361.000793457031,2002.26416015625
"341",38.2262268066406,344.349304199219,1996.67260742188
"342",45.1277770996094,331.226409912109,1989.56286621094
"343",49.7975616455078,318.998474121094,1984.87927246094
"344",53.4193420410156,310.367431640625,1978.51098632812
"345",53.9002532958984,300.732452392578,1973.421875
"346",56.202880859375,288.217224121094,1970.3876953125
"347",61.3101196289062,277.178985595703,1963.7626953125
"348",65.4577178955078,262.662139892578,1961.19885253906
"349",70.4518890380859,251.471984863281,1958.54760742188
"350",80.4286193847656,226.31510925293,1954.10107421875
"351",80.9911651611328,211.675903320312,1949.70922851562
"352",80.2052459716797,196.488662719727,1948.89306640625
"353",80.9205017089844,180.109680175781,1946.42358398438
"354",88.6466827392578,166.334655761719,1939.95092773438
"355",95.499038696289,154.10237121582,1937.64965820312
"356",98.1890563964843,123.200637817383,1928.61584472656
"357",100.918365478516,112.961868286133,1924.64135742188
"358",102.761749267578,101.688690185547,1921.86437988281
"359",102.995513916016,92.9061737060547,1918.03491210937
"360",108.069213867188,81.2239685058594,1915.79174804687
"361",107.105865478516,68.873420715332,1914.03759765625
"362",106.61262512207,60.9868011474609,1912.80322265625
"363",107.783279418945,52.3063735961914,1908.41796875
"364",111.413864135742,39.8729248046875,1906.21032714844
"365",109.526290893555,31.7889022827148,1904.55004882812
"366",108.134063720703,25.4116516113281,1900.85754394531
"367",110.754165649414,14.1259765625,1900.099609375
"368",112.893524169922,6.02272796630859,1898.38525390625
"369",113.196044921875,-4.79769897460938,1893.4501953125
"370",114.827667236328,-15.6303100585937,1892.67846679687
"371",118.388717651367,-19.8114318847656,1892.07116699219
"372",120.97331237793,-26.5750503540039,1885.599609375
"373",123.927215576172,-35.4872512817383,1885.42687988281
"374",117.061737060547,-44.8515472412109,1885.50793457031
"375",110.975952148437,-50.1167602539062,1882.818359375
"376",106.849792480469,-57.863639831543,1881.70446777344
"377",109.005783081055,-65.1566696166992,1879.97509765625
"378",115.317626953125,-70.0933685302734,1878.14245605469
"379",112.147735595703,-74.6764526367187,1876.85986328125
"380",109.181335449219,-79.1099395751953,1877.12707519531
"381",111.043685913086,-84.7240753173828,1875.16223144531
"382",111.302551269531,-92.1537322998047,1874.19689941406
"383",106.204177856445,-93.4556121826172,1873.5546875
"384",102.175628662109,-96.5393981933594,1873.64477539062
"385",105.868621826172,-95.9055633544922,1874.11865234375
"386",112.05419921875,-92.522232055664,1871.84521484375
"387",114.244201660156,-91.1273345947265,1871.57690429687
"388",114.569839477539,-88.6923675537109,1870.08056640625
"389",114.650817871094,-88.3442535400391,1870.16186523437
"390",114.563842773437,-87.4866790771485,1871.07836914063
"391",114.387176513672,-88.4042663574219,1870.90991210938
"392",114.444412231445,-87.2953643798828,1871.65344238281
"393",114.90348815918,-88.1909942626953,1872.19970703125
"394",115.046142578125,-90.2250442504883,1873.88781738281
"395",114.563171386719,-88.4190368652344,1872.63745117188
"396",114.319778442383,-88.6147766113281,1873.00512695312
"397",114.041015625,-89.0869598388672,1874.0859375
"398",113.937561035156,-89.1986999511719,1873.80224609375
"399",114.125549316406,-87.8991622924805,1871.90844726562
"400",114.360061645508,-88.5724334716797,1873.52270507812
"401",114.500686645508,-87.6690673828125,1873.73583984375
"402",114.750213623047,-87.2709045410156,1875.27282714844
"403",114.153045654297,-86.6816101074219,1875.14221191406
"404",117.266250610352,-82.1013488769531,1874.27465820312
"405",120.163177490234,-76.8743362426758,1872.59765625
"406",122.372207641602,-68.1711273193359,1873.64404296875
"407",122.857864379883,-56.8592987060547,1872.37670898438
"408",119.642608642578,-45.6450119018555,1874.40710449219
"409",110.947067260742,-35.6519317626953,1876.7822265625
"410",109.741394042969,-19.583854675293,1881.48291015625
"411",106.927764892578,-0.77801513671875,1882.87573242188
"412",103.089416503906,15.4709930419922,1885.10607910156
"413",102.113098144531,32.0282897949219,1887.8037109375
"414",99.7894439697266,49.3201141357422,1892.2880859375
"415",99.3191375732422,67.7583541870117,1898.42431640625
"416",94.3513793945312,85.7420959472656,1903.26611328125
"417",91.2497100830078,106.586799621582,1910.02587890625
"418",91.5294494628906,139.960906982422,1918.03137207031
"419",94.3165435791016,166.400054931641,1927.79809570313
"420",92.2554931640625,190.136734008789,1936.54418945312
"421",87.0043334960938,214.989410400391,1942.19897460937
"422",83.2982482910156,239.9521484375,1949.4541015625
"423",78.3517456054688,289.827331542969,1965.40771484375
"424",76.9217834472656,311.812194824219,1977.0947265625
"425",72.0660858154297,332.712341308594,1985.5927734375
"426",71.5376281738281,354.551422119141,1994.41357421875
"427",69.4645690917969,371.744567871094,2002.537109375
"428",64.7487182617188,391.516021728516,2009.04223632812
"429",58.4477233886719,407.879089355469,2017.26843261719
"430",54.6447143554688,423.222625732422,2025.76025390625
"431",53.6852416992187,440.079467773438,2034.07348632812
"432",50.3617706298828,456.495910644531,2041.64086914063
"433",43.9930725097656,468.788848876953,2044.61547851562
"434",37.3076629638672,477.511291503906,2049.60473632812
"435",33.1122436523437,492.865478515625,2051.52587890625
"436",28.9172210693359,505.7763671875,2052.82299804688
"437",23.4506530761719,510.969177246094,2055.31127929688
"438",19.0544128417969,515.830017089844,2052.69921875
"439",10.1043090820312,528.334289550781,2054.40307617188
"440",3.66139984130859,536.362609863281,2050.90502929688
"441",-7.39207458496094,539.906982421875,2049.65063476562
"442",-14.4061431884766,540.085083007813,2048.68237304688
"443",-23.361198425293,541.332641601562,2042.72583007812
"444",-30.0226135253906,539.654602050781,2044.53552246094
"445",-22.919548034668,541.228332519531,2042.68188476562
"446",-24.5863265991211,543.474975585938,2047.15551757812
"447",-18.8232574462891,543.867309570312,2045.07641601562
"448",-7.47689819335938,543.245971679688,2043.30407714844
"449",-7.1268310546875,538.588928222656,2043.05200195312
"450",-8.42410278320312,535.946655273437,2041.61926269531
"451",-2.53693389892578,536.411743164062,2040.70349121094
"452",1.61798095703125,536.951416015625,2037.05883789062
"453",-2.91163635253906,536.385070800781,2038.7080078125
"454",-4.92925262451172,532.658630371094,2038.43701171875
"455",-12.2417602539062,533.514282226563,2034.84130859375
"456",-15.9784774780273,533.432739257813,2029.88439941406
"457",-18.1574935913086,533.864868164062,2024.74633789062
"458",-14.2194519042969,537.0595703125,2025.87268066406
